3120	5.2109
3130	5.5479
3140	5.2125
3150	5.4655
3160	5.2429
3170	5.4537
3180	5.3545
3190	5.4199
3200	5.2921
3210	5.4013
3220	5.3000
3230	5.5464
3240	5.4111
3250	5.1638
3260	5.5819
3270	5.1320
3280	5.3372
3290	5.3814
3300	5.4320
3310	5.4466
3320	5.2434
3330	5.2132
3340	5.4282
3350	5.0143
3360	5.3528
3370	5.2958
3380	5.3957
3390	5.2345
3400	5.4273
3410	5.4240
3420	5.0516
3430	5.3975
3440	5.2197
3450	5.4490
3460	5.1520
3470	5.4007
3480	5.5369
3490	5.2152
3500	5.2714
3510	5.1689
3520	5.4750
3530	5.3845
3540	5.3921
3550	5.3511
3560	5.4205
3570	5.4726
3580	5.3130
3590	5.2744
3600	5.2320
3610	5.2551
3620	5.4445
3630	5.2718
3640	5.3089
3650	5.2029
3660	5.2651
3670	5.5087
3680	5.1629
3690	5.3958
3700	5.3384
3710	5.3732
3720	5.3746
3730	5.4151
3740	5.3682
3750	5.4508
3760	5.4711
3770	5.5671
3780	5.5827
3790	5.2290
3800	5.2954
3810	5.4931
3820	5.2649
3830	5.3719
3840	5.4656
3850	5.2170
3860	5.2858
3870	5.3115
3880	5.2929
3890	5.2264
3900	5.3867
3910	5.3376
3920	5.3081
3930	5.2809
3940	5.2367
3950	5.4599
3960	5.5074
3970	5.2199
3980	5.3408
3990	5.4601
4000	5.3938
4010	5.3286
4020	5.3567
4030	5.2257
4040	5.3439
4050	5.5694
4060	5.2469
4070	5.3384
4080	5.4107
4090	5.4730
4100	5.2224
4110	5.6141
4120	5.3153
4130	5.0639
4140	5.1529
4150	5.4047
4160	5.5318
4170	5.5393
4180	5.3981
4190	5.4142
4200	5.4623
4210	5.3789
4220	5.4521
4230	5.3008
4240	5.2719
4250	5.5153
4260	5.2720
4270	5.5000
4280	5.4354
4290	5.3746
4300	5.4663
4310	5.3159
4320	5.2673
4330	5.3563
4340	5.4261
4350	5.1487
4360	5.2989
4370	5.4849
4380	5.2423
4390	5.4489
4400	5.4003
4410	5.4879
4420	5.4539
4430	5.4356
4440	5.1713
4450	5.4444
4460	5.3958
4470	5.3202
4480	5.2907
4490	5.1460
4500	5.3788
4510	5.4239
4520	5.2314
4530	5.4385
4540	5.3271
4550	5.4169
4560	5.3716
4570	5.1192
4580	5.3501
4590	5.5237
4600	5.1534
4610	5.4594
4620	5.1811
4630	5.3237
4640	5.4299
4650	5.4594
4660	5.2617
4670	5.3796
4680	5.4118
4690	5.2644
4700	5.2890
4710	5.2078
4720	5.2479
4730	5.4724
4740	5.1877
4750	5.2723
4760	5.4160
4770	5.3703
4780	5.2906
4790	5.2994
4800	5.2568
4810	5.3322
4820	5.4251
4830	5.1559
4840	5.2715
4850	5.1880
4860	5.3807
4870	5.2791
4880	5.2370
4890	5.4980
4900	5.3449
4910	5.2774
4920	5.4629
4930	5.3789
4940	5.3888
4950	5.0934
4960	5.2676
4970	5.3197
4980	5.3566
4990	5.3107
5000	5.3733
