#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 22:11:43       0     85     43      0      0      0      0 
 22:11:44       0     86     41      0      0      0      0 
 22:11:45       0     88     45      0      0      0      0 
 22:11:46       0     97     69      0      0      0      0 
 22:11:47       0     85     43      0      0      0      0 
 22:11:48       0     83     40      0      0      0      0 
 22:11:49       0     92     58      0      0      0      0 
 22:11:50       0     76     35      0      0      0      0 
 22:11:51       0     91     60      0      0      0      0 
 22:11:52       0     73     30      0      0      0      0 
 22:11:53       0     80     36      0      0      0      0 
 22:11:54       0    100     73      0      0      0      0 
 22:11:55       0     76     34      0      0      0      0 
 22:11:56       0     80     34      0      0      0      0 
 22:11:57       0     75     34      0      0      0      0 
 22:11:58       0     97     67      0      0      0      0 
 22:11:59       0     80     31      0      0      0      0 
 22:12:00       0     74     27      0      0      0      0 
 22:12:01       0     81     32      0      0      0      0 
 22:12:02       0     82     32      0      0      0      0 
 22:12:03       0     77     29      0      0      0      0 
 22:12:04       0     78     31      0      0      0      0 
 22:12:05       0     85     34      0      0      0      0 
 22:12:06       0     84     37      0      0      0      0 
 22:12:07       0     79     31      0      0      0      0 
 22:12:08       0     82     34      0      0      0      0 
 22:12:09       0     84     34      0      0      0      0 
 22:12:10       0     82     33      0      0      0      0 
 22:12:11       0     81     34      0      0      0      0 
 22:12:12       0     85     37      0      0      0      0 
 22:12:13       0     82     32      0      0      0      0 
 22:12:14       0     92     53      0      0      0      0 
 22:12:15       0     85     33      0      0      0      0 
 22:12:16       0     79     31      0      0      0      0 
 22:12:17       0     83     32      0      0      0      0 
 22:12:18       0     86     37      0      0      0      0 
 22:12:19       0     92     53      0      0      0      0 
 22:12:20       0     82     41      0      0      0      0 
 22:12:21       0     79     30      0      0      0      0 
 22:12:22       0     82     31      0      0      0      0 
 22:12:23       0     84     47      0      0      0      0 
 22:12:24       0     81     32      0      0      0      0 
 22:12:25       0     82     32      0      0      0      0 
 22:12:26       0     96     59      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 22:12:27       0     79     30      0      0      0      0 
 22:12:28       0     80     31      0      0      0      0 
 22:12:29       0     79     29      0      0      0      0 
 22:12:30       0     78     29      0      0      0      0 
 22:12:31       0    100     62      0      0      0      0 
 22:12:32       0     81     32      0      0      0      0 
 22:12:33       0     81     32      0      0      0      0 
 22:12:34       0     86     37      0      0      0      0 
 22:12:35       0     87     37      0      0      0      0 
 22:12:36       0     76     29      0      0      0      0 
 22:12:37       0     84     35      0      0      0      0 
 22:12:38       0     82     34      0      0      0      0 
 22:12:39       0     82     35      0      0      0      0 
 22:12:40       0     85     35      0      0      0      0 
 22:12:42       0     75     28      0      0      0      0 
 22:12:43       0     80     32      0      0      0      0 
 22:12:44       0     95     57      0      0      0      0 
 22:12:45       0     80     32      0      0      0      0 
 22:12:46       0     88     50      0      0      0      0 
 22:12:47       0     82     31      0      0      0      0 
